file	width	height
VGM001000048_02_n	1200	936
VGM001000049_01_n	602	898
VGM001000049_02_n	602	894
VGM001000050_01_n	1161	915
VGM001000050_02_n	1164	913
VGM001000051_01_n	1144	897
VGM001000051_02_n	1144	904
VGM001000052_01_n	594	393
VGM001000052_02_n	580	385
VGM001000053_01_n	1162	915
VGM001000053_02_n	1156	913
VGM001000054_01_n	907	588
VGM001000054_02_n	907	590
VGM001000055_01_n	1146	902
VGM001000055_02_n	1146	902
VGM001000056_01_n	1167	909
VGM001000056_02_n	1162	904
VGM001000057_01_n	1142	900
VGM001000057_02_n	1146	901
VGM001000058_01_n	1150	904
VGM001000058_02_n	1152	902
VGM001000059_01_n	1156	911
VGM001000059_02_n	1150	907
VGM001000060_01_n	602	932
VGM001000060_02_n	575	911
VGM001000061_01_n	902	573
VGM001000061_02_n	894	578
VGM001000062_01_n	1129	921
VGM001000062_02_n	1125	917
VGM001000063_01_n	1138	921
VGM001000063_02_n	1123	919
VGM001000064_01_n	1117	913
VGM001000064_02_n	1123	919
VGM001000065_01_n	1121	915
VGM001000065_02_n	1112	917
VGM001000066_01_n	1156	919
VGM001000066_02_n	1150	915
VGM001000067_01_n	1127	921
VGM001000067_02_n	1135	921
VGM001000068_01_n	1129	917
VGM001000068_02_n	1131	919
VGM001000069_01_n	1138	919
VGM001000069_02_n	1146	921
VGM001000070_01_n	1146	900
VGM001000070_02_n	1144	902
VGM001000071_01_n	1144	930
VGM001000071_02_n	1135	925
VGM001000072_01_n	1131	919
VGM001000072_02_n	1129	928
VGM001000073_01_n	1144	934
VGM001000073_02_n	1140	936
VGM001000074_01_n	1140	932
VGM001000074_02_n	1131	930
VGM001000075_01_n	1154	904
VGM001000075_02_n	1152	900
VGM001000076_01_n	1156	909
VGM001000076_02_n	1163	913
VGM001000077_01_n	972	762
VGM001000077_02_n	965	757
VGM001000077_03_n	674	542
VGM001000077_04_n	575	463
VGM001000078_01_n	503	762
VGM001000078_02_n	505	768
VGM001000079_01_n	970	772
VGM001000079_02_n	963	762
VGM001000080_01_n	965	770
VGM001000080_02_n	959	768
VGM001000081_01_n	967	768
VGM001000081_02_n	955	749
VGM001000082_01_n	946	748
VGM001000082_02_n	959	764
VGM001000083_01_n	963	770
VGM001000083_02_n	961	770
VGM001000084_01_n	499	691
VGM001000084_02_n	495	691
VGM001000085_01_n	967	760
VGM001000085_02_n	965	755
VGM001000086_01_n	951	770
VGM001000086_02_n	951	778
VGM001000087_01_n	505	751
VGM001000087_02_n	508	760
VGM001000088_01_n	967	760
VGM001000088_02_n	974	760
VGM001000089_01_n	963	755
VGM001000089_02_n	967	757
VGM001000090_01_n	974	766
VGM001000090_02_n	974	757
VGM001000091_01_n	503	764
VGM001000091_02_n	505	766
VGM001000092_01_n	428	328
VGM001000092_02_n	440	332
VGM001000093_01_n	944	886
VGM001000093_02_n	946	888
VGM001000094_01_n	1185	883
VGM001000094_02_n	1173	886
VGM001000095_01_n	902	879
VGM001000095_02_n	907	879
VGM001000096_01_n	505	757
VGM001000096_02_n	503	757
VGM001000097_01_n	932	879
VGM001000097_02_n	936	890
VGM001000098_01_n	873	710
VGM001000098_02_n	862	692
VGM001000099_01_n	871	695
VGM001000099_02_n	867	692
VGM001000100_01_n	869	707
VGM001000100_02_n	857	694
VGM001000101_01_n	505	751
VGM001000101_02_n	501	751
VGM001000102_01_n	436	673
VGM001000102_02_n	451	682
VGM001000103_01_n	442	682
VGM001000103_02_n	447	693
VGM001000104_01_n	438	686
VGM001000104_02_n	435	681
VGM001000105_01_n	970	762
VGM001000105_02_n	974	760
VGM001000106_01_n	965	768
VGM001000106_02_n	970	768
VGM001000107_01_n	501	760
VGM001000107_02_n	501	762
VGM001000109_01_n	1150	879
VGM001000109_02_n	1150	886
VGM001000110_01_n	1147	894
VGM001000110_02_n	1155	899
VGM001000111_01_n	589	881
VGM001000111_02_n	589	879
VGM001000112_01_n	478	594
VGM001000112_02_n	470	588
VGM001000113_01_n	497	766
VGM001000113_02_n	497	772
VGM001000114_01_n	1150	890
VGM001000114_02_n	1150	890
VGM001000115_01_n	1146	893
VGM001000115_02_n	1162	904
VGM001000116_01_n	1152	904
VGM001000116_02_n	1150	904
VGM001000117_01_n	514	760
VGM001000117_02_n	508	757
VGM001000118_01_n	1121	883
VGM001000118_02_n	1129	881
VGM001000119_01_n	602	890
VGM001000119_02_n	594	886
VGM001000120_01_n	1161	896
VGM001000120_02_n	1159	888
VGM001000121_01_n	1154	904
VGM001000121_02_n	1148	898
VGM001000122_01_n	667	961
VGM001000122_02_n	678	959
VGM001000123_01_n	661	951
VGM001000123_02_n	659	957
VGM001000124_01_n	657	957
VGM001000124_02_n	661	957
VGM001000125_01_n	669	963
VGM001000125_02_n	663	961
VGM001000126_01_n	665	949
VGM001000126_02_n	667	944
VGM001000127_01_n	1397	883
VGM001000127_02_n	1401	892
VGM001000128_01_n	1206	946
VGM001000128_02_n	1209	938
VGM001000129_01_n	663	955
VGM001000129_02_n	653	943
VGM001000130_01_n	667	963
VGM001000130_02_n	667	970
VGM001000131_01_n	659	965
VGM001000131_02_n	665	955
VGM001000132_01_n	678	959
VGM001000132_02_n	680	957
VGM001000133_01_n	671	965
VGM001000133_02_n	673	970
VGM001000134_01_n	678	974
VGM001000134_02_n	665	963
VGM001000135_01_n	665	972
VGM001000135_02_n	663	965
VGM001000136_01_n	1192	898
VGM001000136_02_n	1196	898
VGM001000137_01_n	657	961
VGM001000137_02_n	661	963
VGM001000138_01_n	1154	874
VGM001000138_02_n	1149	873
VGM001000139_01_n	1036	836
VGM001000139_02_n	1034	844
VGM001000140_01_n	1058	841
VGM001000140_02_n	1076	849
VGM001000141_01_n	1054	747
VGM001000141_02_n	1056	753
VGM001000142_01_n	1038	684
VGM001000142_02_n	1043	684
VGM001000143_01_n	1122	882
VGM001000143_02_n	1119	877
VGM001000144_01_n	594	886
VGM001000144_02_n	579	880
VGM001000145_01_n	1152	888
VGM001000145_02_n	1156	907
VGM001000146_01_n	1142	885
VGM001000146_02_n	1167	902
VGM001000147_01_n	1135	874
VGM001000147_02_n	1154	900
VGM001000148_01_n	1149	895
VGM001000148_02_n	1146	890
VGM001000149_01_n	1143	894
VGM001000149_02_n	1142	884
VGM001000150_01_n	1146	895
VGM001000150_02_n	1142	888
VGM001000151_01_n	1161	911
VGM001000151_02_n	1173	904
VGM001000152_01_n	602	900
VGM001000152_02_n	602	898
VGM001000153_01_n	455	570
VGM001000153_02_n	455	574
VGM001000154_01_n	1147	949
VGM001000154_02_n	1169	952
VGM001000155_01_n	1136	893
VGM001000155_02_n	1150	907
VGM001000156_01_n	592	909
VGM001000156_02_n	602	898
VGM001000157_01_n	1156	900
VGM001000157_02_n	1154	898
VGM001000158_01_n	1144	928
VGM001000158_02_n	1138	921
VGM001000159_01_n	602	917
VGM001000159_02_n	602	913
VGM001000160_01_n	1169	909
VGM001000160_02_n	1164	917
VGM001000161_01_n	1167	923
VGM001000161_02_n	1159	915
VGM001000162_01_n	1163	925
VGM001000162_02_n	1163	919
VGM001000163_01_n	587	873
VGM001000163_02_n	592	877
VGM001000164_01_n	871	568
VGM001000164_02_n	872	573
VGM001000165_01_n	1152	896
VGM001000165_02_n	1146	907
VGM001000166_01_n	1152	886
VGM001000166_02_n	1154	904
VGM001000167_01_n	1163	904
VGM001000167_02_n	1167	909
VGM001000168_01_n	1145	889
VGM001000168_02_n	1150	907
VGM001000169_01_n	1146	915
VGM001000169_02_n	1146	917
VGM001000170_01_n	1150	911
VGM001000170_02_n	1145	895
VGM001000171_01_n	1159	904
VGM001000171_02_n	1156	900
VGM001000172_01_n	1173	911
VGM001000172_02_n	1148	888
VGM001000173_01_n	1161	892
VGM001000173_02_n	1148	886
VGM001000174_01_n	1150	898
VGM001000174_02_n	1154	900
VGM001000175_01_n	589	879
VGM001000175_02_n	589	879
VGM001000176_01_n	470	582
VGM001000176_02_n	459	582
VGM001000177_01_n	594	881
VGM001000177_02_n	596	879
VGM001000178_01_n	894	607
VGM001000178_02_n	883	604
VGM001000179_01_n	602	900
VGM001000179_02_n	592	892
VGM001000180_01_n	1123	890
VGM001000180_02_n	1121	879
VGM001000181_01_n	1127	893
VGM001000181_02_n	1127	888
VGM001000182_01_n	1150	898
VGM001000182_02_n	1164	902
VGM001000183_01_n	1127	888
VGM001000183_02_n	1129	898
VGM001000184_01_n	997	789
VGM001000184_02_n	995	793
VGM001000185_01_n	1142	900
VGM001000185_02_n	1140	900
VGM001000186_01_n	1140	900
VGM001000186_02_n	1141	892
VGM001000187_01_n	596	902
VGM001000187_02_n	581	886
VGM001000188_01_n	1133	900
VGM001000188_02_n	1146	904
VGM001000189_01_n	1133	898
VGM001000189_02_n	1135	900
VGM001000190_01_n	1135	900
VGM001000190_02_n	1129	898
VGM001000191_01_n	472	590
VGM001000191_02_n	468	578
VGM001000192_01_n	1135	892
VGM001000192_02_n	1133	888
VGM001000193_01_n	1152	894
VGM001000193_02_n	1152	900
VGM001000194_01_n	1135	884
VGM001000194_02_n	1148	902
VGM001000195_01_n	1146	907
VGM001000195_02_n	1144	902
VGM001000196_01_n	1138	894
VGM001000196_02_n	1135	894
VGM001000197_01_n	1137	902
VGM001000197_02_n	1135	896
VGM001000198_01_n	1131	894
VGM001000198_02_n	1140	900
VGM001000199_01_n	587	896
VGM001000199_02_n	587	890
VGM001000200_01_n	1142	896
VGM001000200_02_n	1144	898
VGM001000201_01_n	1121	886
VGM001000201_02_n	1121	885
VGM001000202_01_n	1127	879
VGM001000202_02_n	1123	879
VGM001000203_01_n	1121	878
VGM001000203_02_n	1123	879
VGM001000204_01_n	1141	890
VGM001000204_02_n	1142	889
VGM001000205_01_n	1138	888
VGM001000205_02_n	1140	890
VGM001000206_01_n	1142	890
VGM001000206_02_n	1135	886
VGM001000207_01_n	1116	876
VGM001000207_02_n	1117	879
VGM001000208_01_n	1109	874
VGM001000208_02_n	1113	879
VGM001000209_01_n	577	874
VGM001000209_02_n	575	878
VGM001000210_01_n	575	879
VGM001000210_02_n	573	879
VGM001000211_01_n	571	879
VGM001000211_02_n	578	892
VGM001000212_01_n	1152	885
VGM001000212_02_n	1155	886
VGM001000213_01_n	1142	886
VGM001000213_02_n	1140	885
VGM001000214_01_n	1019	808
VGM001000214_02_n	1019	806
VGM001000215_01_n	1159	879
VGM001000215_02_n	1161	879
VGM001000216_01_n	1147	895
VGM001000216_02_n	1145	893
VGM001000217_01_n	1145	895
VGM001000217_02_n	1142	895
VGM001000218_01_n	1144	892
VGM001000218_02_n	1142	895
VGM001000219_01_n	907	509
VGM001000219_02_n	903	514
VGM001000220_01_n	1137	885
VGM001000220_02_n	1140	886
VGM001000221_01_n	1144	889
VGM001000221_02_n	1144	889
VGM001000222_01_n	1142	883
VGM001000222_02_n	1144	888
VGM001000223_01_n	1137	886
VGM001000223_02_n	1141	886
VGM001000224_01_n	585	888
VGM001000224_02_n	584	886
VGM001000225_01_n	1140	888
VGM001000225_02_n	1141	882
VGM001000226_01_n	1137	885
