file	width	height
VGM001000039_02_n	3315	2614
VGM001000040_01_n	3303	2608
VGM001000040_02_n	3345	2620
VGM001000041_01_n	3286	2608
VGM001000041_02_n	3304	2608
VGM001000042_01_n	3309	2614
VGM001000042_02_n	3316	2626
VGM001000043_01_n	3309	2620
VGM001000043_02_n	3357	2650
VGM001000044_01_n	3333	2614
VGM001000044_02_n	3333	2596
VGM001000045_01_n	3322	2614
VGM001000045_02_n	3328	2608
VGM001000046_01_n	3333	2620
VGM001000046_02_n	3339	2608
VGM001000047_01_n	2638	1674
VGM001000047_02_n	2614	1686
VGM001000048_01_n	3405	2662
VGM001000048_02_n	3429	2674
VGM001000049_01_n	1720	2566
VGM001000049_02_n	1720	2554
VGM001000050_01_n	3316	2614
VGM001000050_02_n	3327	2608
VGM001000051_01_n	3268	2564
VGM001000051_02_n	3268	2584
VGM001000052_01_n	1696	1123
VGM001000052_02_n	1656	1099
VGM001000053_01_n	3321	2614
VGM001000053_02_n	3304	2608
VGM001000054_01_n	2590	1679
VGM001000054_02_n	2590	1685
VGM001000055_01_n	3274	2578
VGM001000055_02_n	3274	2578
VGM001000056_01_n	3334	2596
VGM001000056_02_n	3321	2584
VGM001000057_01_n	3262	2572
VGM001000057_02_n	3273	2575
VGM001000058_01_n	3286	2584
VGM001000058_02_n	3292	2578
VGM001000059_01_n	3303	2602
VGM001000059_02_n	3286	2590
VGM001000060_01_n	1720	2662
VGM001000060_02_n	1642	2602
VGM001000061_01_n	2578	1638
VGM001000061_02_n	2554	1650
VGM001000062_01_n	3226	2632
VGM001000062_02_n	3214	2620
VGM001000063_01_n	3250	2632
VGM001000063_02_n	3208	2626
VGM001000064_01_n	3190	2608
VGM001000064_02_n	3208	2626
VGM001000065_01_n	3202	2614
VGM001000065_02_n	3178	2620
VGM001000066_01_n	3304	2626
VGM001000066_02_n	3286	2614
VGM001000067_01_n	3220	2632
VGM001000067_02_n	3244	2632
VGM001000068_01_n	3226	2620
VGM001000068_02_n	3232	2626
VGM001000069_01_n	3250	2626
VGM001000069_02_n	3274	2632
VGM001000070_01_n	3274	2572
VGM001000070_02_n	3268	2578
VGM001000071_01_n	3268	2656
VGM001000071_02_n	3244	2644
VGM001000072_01_n	3231	2626
VGM001000072_02_n	3226	2650
VGM001000073_01_n	3268	2668
VGM001000073_02_n	3256	2674
VGM001000074_01_n	3256	2662
VGM001000074_02_n	3232	2656
VGM001000075_01_n	3298	2584
VGM001000075_02_n	3292	2572
VGM001000076_01_n	3304	2596
VGM001000076_02_n	3324	2608
VGM001000077_01_n	2776	2176
VGM001000077_02_n	2758	2164
VGM001000077_03_n	1925	1548
VGM001000077_04_n	1644	1322
VGM001000078_01_n	1438	2176
VGM001000078_02_n	1444	2194
VGM001000079_01_n	2770	2206
VGM001000079_02_n	2752	2176
VGM001000080_01_n	2758	2200
VGM001000080_02_n	2740	2194
VGM001000081_01_n	2764	2194
VGM001000081_02_n	2728	2140
VGM001000082_01_n	2703	2136
VGM001000082_02_n	2740	2182
VGM001000083_01_n	2752	2200
VGM001000083_02_n	2746	2200
VGM001000084_01_n	1426	1973
VGM001000084_02_n	1414	1973
VGM001000085_01_n	2764	2170
VGM001000085_02_n	2758	2158
VGM001000086_01_n	2716	2200
VGM001000086_02_n	2716	2224
VGM001000087_01_n	1444	2146
VGM001000087_02_n	1450	2170
VGM001000088_01_n	2764	2170
VGM001000088_02_n	2782	2170
VGM001000089_01_n	2752	2158
VGM001000089_02_n	2764	2164
